C_Id Nconfigs Nbases RMSError(eV/atom)
1 31 1922 0.005391
2 20 1280 0.006018
3 31 1891 0.005172
4 20 1260 0.008936
5 21 1323 0.010266
6 20 1200 0.005727
7 20 1180 0.008343
8 20 1160 0.008669
9 20 1140 0.005061
10 20 1280 0.005070
11 8 512 0.001691
12 43 2709 0.002758
13 43 2709 0.001860
14 15 30 0.004850
15 15 60 0.000613
16 15 120 0.001501
17 10 640 0.001253
18 7 448 0.000311
19 8 496 0.000564
20 2 128 0.000092
21 5 320 0.000117
22 2 122 0.002493
23 7 420 0.001669
24 28 1680 0.002857
25 7 413 0.000436
26 7 413 0.002175
27 7 406 0.002609
28 7 399 0.001325
29 32 256 0.001539
30 38 304 0.002382
31 310 2480 0.000546
32 147 9408 0.001628
33 107 6634 0.002189
34 11 682 0.002625
35 20 1280 0.002952
36 19 1216 0.007146
37 33 2112 0.008395
38 50 3200 0.009968
39 33 2112 0.004263
40 14 910 0.001313
41 14 910 0.000431
42 11 693 0.000766
43 25 1575 0.000661
44 6 324 0.002849
45 77 4928 0.000845
46 43 2709 0.001246
47 11 693 0.001908
48 9 549 0.000893
