C_Id Nconfigs Nbases RMSError(eV/atom)
1 31 1922 0.005630
2 20 1280 0.008639
3 31 1891 0.005629
4 20 1260 0.008264
5 21 1323 0.012157
6 20 1200 0.008750
7 20 1180 0.009881
8 20 1160 0.008930
9 20 1140 0.007256
10 20 1280 0.004848
11 8 512 0.002671
12 43 2709 0.004014
13 43 2709 0.001536
14 15 30 0.004482
15 6 24 0.001962
16 10 80 0.008267
17 10 640 0.002885
18 7 448 0.002237
19 8 496 0.001709
20 2 128 0.000037
21 5 320 0.003312
22 8 488 0.004458
23 7 420 0.003882
24 28 1680 0.002487
25 7 413 0.002420
26 7 413 0.002814
27 7 406 0.005539
28 7 399 0.000158
29 32 256 0.002075
30 38 304 0.001994
31 310 2480 0.000456
32 40 2560 0.002023
33 107 6634 0.002418
34 11 682 0.003479
35 20 1280 0.002623
36 19 1216 0.005595
37 33 2112 0.006714
38 50 3200 0.009977
39 33 2112 0.003961
40 14 910 0.000596
41 14 910 0.003404
42 11 693 0.001759
43 25 1575 0.002122
44 6 324 0.002717
45 77 4928 0.000768
46 43 2709 0.001527
47 11 693 0.001281
48 9 549 0.003219
