,C_Id,Nconfigs,Nbases,RMSError(eV/atom)
AIMD-VₐVᵦ,1,31,1922,0.005391
AIMD-AᵦBₐ,2,20,1280,0.006018
AIMD-VₐVᵦ²(T),3,31,1891,0.005172
AIMD-Vᵦ,4,20,1260,0.008936
AIMD-Vₐ,5,21,1323,0.010266
AIMD-VₐVᵦ³(IP),6,20,1200,0.005727
AIMD-VₐVᵦ⁴(OP),7,20,1180,0.008343
AIMD-VₐVᵦ⁵,8,20,1160,0.008669
AIMD-VₐVᵦ⁶,9,20,1140,0.005061
NPT-1080K,10,20,1280,0.00507
NVT-1080K,11,8,512,0.001691
ISO-Vᵦ-Diff,12,43,2709,0.002758
ISO-Vₐ-Diff,13,43,2709,0.00186
EOS-CsCl-B₂,14,15,30,0.00485
EOS-PtS_B₁₇,15,15,60,0.000613
EOS-ZB-B₃,16,15,120,0.001501
AᵦBₐ,17,10,640,0.001253
Bₐ,18,7,448,0.000311
VₐVᵦ,19,8,496,0.000564
AB,20,2,128,9.2e-05
Aᵦ,21,5,320,0.000117
VₐVᵦ²(L),22,2,122,0.002493
VₐVᵦ³(IP),23,7,420,0.001669
VₐVᵦ³(OP),24,28,1680,0.002857
VₐVᵦ⁴(IP),25,7,413,0.000436
VₐVᵦ⁴(OP),26,7,413,0.002175
VₐVᵦ⁵,27,7,406,0.002609
VₐVᵦ⁶,28,7,399,0.001325
c₁₁+2c₁₂,29,32,256,0.001539
c₁₁-2c₁₂,30,38,304,0.002382
c₄₄,31,310,2480,0.000546
EOS-RS_B₁,32,147,9408,0.001628
Divac-Vᵦ-Diff,33,107,6634,0.002189
Divac-Vₐ-Diff,34,11,682,0.002625
NPT-500K,35,20,1280,0.002952
NPT-2000K,36,19,1216,0.007146
NPT-3000K,37,33,2112,0.008395
NPT-3900K,38,50,3200,0.009968
NPT-800K,39,33,2112,0.004263
Iₐ,40,14,910,0.001313
Iᵦ,41,14,910,0.000431
VᵦAᵦ,42,11,693,0.000766
VₐBₐ,43,25,1575,0.000661
Phonon_DFT,44,6,324,0.002849
X-symmetry,45,77,4928,0.000845
Vᵦ,46,43,2709,0.001246
Vₐ,47,11,693,0.001908
VₐVᵦ²(T),48,9,549,0.000893
